Oligonucleotide Telomerase Inhibitors	N0000194126
Opioid kappa Receptor Agonists	N0000194007
Opioid mu-Receptor Agonists	N0000191866
Orexin Receptor Antagonists	N0000190998
Organic Anion Transporter 1 Inhibitors	N0000190110
Organic Anion Transporter 3 Inhibitors	N0000190111
Organic Anion Transporting Polypeptide 1B1 Inhibitors	N0000190107
Organic Anion Transporting Polypeptide 1B3 Inhibitors	N0000190108
Organic Anion Transporting Polypeptide 2B1 Inhibitors	N0000190109
Organic Cation Transporter 1 Inhibitors	N0000191265
Organic Cation Transporter 2 Inhibitors	N0000187061
Oxidation Activity	N0000175546
P-Glycoprotein Inducers	N0000191264
P-Glycoprotein Inhibitors	N0000185503
P-Selectin Blockers	N0000194031
P2Y12 Receptor Antagonists	N0000182143
PCSK9 Inhibitors	N0000191730
Para-Aminobenzoic Acid Inhibitors	N0000009946
Parathormone Receptor Agonists	N0000000158
Partial Cholinergic Nicotinic Agonists	N0000175702
Partial Opioid Agonists	N0000175685
Peroxisome Proliferator-activated Receptor alpha Agonists	N0000175375
Peroxisome Proliferator-activated Receptor delta Agonists	N0000175378
Peroxisome Proliferator-activated Receptor gamma Agonists	N0000175377
Phenylalanine Hydroxylase Activators	N0000190482
Phosphate Chelating Activity	N0000020074
Phosphodiesterase 3 Inhibitors	N0000175086
Phosphodiesterase 4 Inhibitors	N0000182960
Phosphodiesterase 5 Inhibitors	N0000020026
Phosphoinositide 3-Kinase alpha Inhibitors	N0000194130
Phosphoinositide 3-Kinase delta Inhibitors	N0000194054
Plasmin Inhibitors	N0000010264
Platelet-derived Growth Factor alpha Receptor Inhibitors	N0000020028
Platelet-derived Growth Factor beta Receptor Inhibitors	N0000020029
Plutonium Chelating Activity	N0000020076
Poly(ADP-Ribose) Polymerase Inhibitors	N0000191622
Polymerase Acidic Endonuclease Inhibitors	N0000193853
Positron Emitting Activity	N0000175869
Potassium Channel Antagonists	N0000175448
Potassium Channel Openers	N0000182728
Potassium Ion Binding Activity	N0000178377
Potassium Ion Exchange Activity	N0000175357
Progestational Hormone Receptor Antagonists	N0000000115
Programmed Death Ligand-1 Antagonists	N0000193337
Programmed Death Ligand-1-directed Antibody Interactions	N0000193336
Programmed Death Receptor-1-directed Antibody Interactions	N0000191259
Proline-rich Tyrosine Kinase 2 Inhibitors	N0000194169
Prostacyclin Receptor Agonists	N0000020068
Prostaglandin E2 Receptor Agonists	N0000194042
Prostaglandin Receptor Antagonists	N0000000108
Protease Activators	N0000194171
Protease-activated Receptor-1 Antagonists	N0000190995
Proteasome Inhibitors	N0000175075
Proto-Oncogene Tyrosine-Protein Kinase ROS1 Inhibitors	N0000194093
Pyruvate Kinase Activators	N0000194009
RANK Ligand Blocking Activity	N0000187054
RNA Replicase Inhibitors	N0000191258
RNA Synthetase Inhibitors	N0000175516
Rearranged during Transfection (RET) Inhibitors	N0000193947
Renin Inhibitors	N0000175899
Rho Kinase Inhibitors	N0000193789
Ribonucleotide Reductase Inhibitors	N0000000212
SLAMF7-directed Antibody Interactions	N0000192337
Sclerosing Activity	N0000020024
Secretin Receptor Agonists	N0000020078
Selective Estrogen Receptor Modulators	N0000000168
Selective Progesterone Receptor Modulators	N0000191262
Serotonin 1b Receptor Agonists	N0000175763
Serotonin 1d Receptor Agonists	N0000175764
Serotonin 2c Receptor Agonists	N0000185009
Serotonin 3 Receptor Antagonists	N0000175817
Serotonin 4 Receptor Agonists	N0000193870
Serotonin 4 Receptor Antagonists	N0000175816
Serotonin 5HT-3 Antagonists	N0000000090
Serotonin Uptake Inhibitors	N0000000109
Sigma-1 Receptor Agonists	N0000182147
Sigma-1 Receptor Antagonists	N0000182148
Smoothened Receptor Antagonists	N0000184148
Sodium Channel Antagonists	N0000181004
Sodium Chloride Symporter Inhibitors	N0000181005
Sodium Potassium Chloride Symporter Inhibitors	N0000181006
Sodium-Glucose Transporter 2 Inhibitors	N0000187058
Sodium-Hydrogen Exchanger 3 Inhibitors	N0000194057
Sodium-Potassium Exchanging ATPase Interactions	N0000000238
Somatotropin Receptor Agonists	N0000000217
Sphingosine 1-Phosphate Receptor Modulators	N0000181815
Squalene Monooxygenase Inhibitors	N0000010265
Stem Cell Factor (KIT) Receptor Inhibitors	N0000020034
Stool Bulking Activity	N0000000075
Structural Macromolecules	N0000000228
Surfactant Activity	N0000000079
Survival of Motor Neuron 2 Splicing Modifiers	N0000194060
T-Calcium Channel Receptor Antagonists	N0000020066
TRPM8 Thermoreceptor Agonists	N0000194173
Thrombin Inhibitors	N0000009963
Thrombopoietin Receptor Agonists	N0000175968
Thymic Stromal Lymphopoietin Blockers	N0000194011
Thymidine Phosphorylase Inhibitors	N0000191869
Thymidylate Synthetase Inhibitors	N0000000098
Thyroid Hormone Receptor beta Agonists	N0000194132
Tissue Factor Pathway Inhibitor Antagonists	N0000194161
Tissue Plasminogen Activator Inhibitors	N0000010263
Tissue Plasminogen Activators	N0000000241
Topoisomerase 4 Inhibitors	N0000020087
Transpeptidase Inhibitors	N0000010215
Transthyretin Stabilizers	N0000194135
Tropomyosin Receptor Tyrosine Kinase A Inhibitors	N0000194094
Tropomyosin Receptor Tyrosine Kinase B Inhibitors	N0000194095
Tropomyosin Receptor Tyrosine Kinase C Inhibitors	N0000194096
Tryptophan Hydroxylase Inhibitors	N0000193302
Tumor Necrosis Factor alpha Receptor Blocking Activity	N0000175446
Tumor Necrosis Factor beta Receptor Blocking Activity	N0000175447
Type I interferon Receptor Antagonists	N0000193968
Type II RAF Kinase Inhibitors	N0000194133
UGT1A1 Inducers	N0000194036
UGT1A1 Inhibitors	N0000191272
UGT1A3 Inhibitors	N0000191275
UGT1A4 Inhibitors	N0000191276
UGT1A6 Inhibitors	N0000191277
UGT1A9 Inhibitors	N0000191278
UGT2B15 Inhibitors	N0000191274
UGT2B7 Inhibitors	N0000191273
Ultrasound Contrast Activity	N0000010259
Ultraviolet A Radiation Absorption	N0000010218
Ultraviolet B Radiation Absorption	N0000010219
Uncompetitive NMDA Receptor Antagonists	N0000181819
Uncouplers	N0000000155
Unknown Cellular or Molecular Interaction	N0000009915
Urate Transporter 1 Inhibitors	N0000192340
Urease Inhibitors	N0000175087
VEGFR1 Inhibitors	N0000020031
VEGFR2 Inhibitors	N0000020032
VEGFR3 Inhibitors	N0000020033
Vascular Endothelial Growth Factor Inhibitors	N0000193542
Vascular Endothelial Growth Factor-directed Antibody Interactions	N0000178291
Vasopressin Receptor Agonists	N0000194046
Vasopressin V1 Receptor Antagonists	N0000193179
Vasopressin V2 Receptor Antagonists	N0000193178
Venom Neutralization	N0000184010
Vesicular Monoamine Transporter 2 Inhibitors	N0000190855
Viral Envelope Wrapping Protein Inhibitors	N0000193860
Virus Neutralization	N0000184009
Vitamin K Epoxide Reductase Inhibitors	N0000000164
X-Ray Contrast Activity	N0000010258
Xanthine Oxidase Inhibitors	N0000000206
Zaire Ebolavirus Glycoprotein-directed Antibody Interactions	N0000194037
alpha Glucosidase Inhibitors	N0000000166
beta Lactamase Inhibitors	N0000000202
beta Tubulin Interactions	N0000010260
mTOR Inhibitors	N0000175624
